"","year","LUR","logLUR"
"1",1980,1.6,0.470003629245736
"2",1981,2.2,0.78845736036427
"3",1982,3.1,1.1314021114911
"4",1983,3.7,1.30833281965018
"5",1984,3.8,1.33500106673234
"6",1985,3.6,1.28093384546206
"7",1986,3.1,1.1314021114911
"8",1987,3.8,1.33500106673234
"9",1988,2.676,0.984323142265982
"10",1989,2.348,0.85356390196585
"11",1990,2.723,1.00173421369162
"12",1991,3.151,1.14771986277514
"13",1992,3.29,1.19088756477728
"14",1993,3.958,1.37573884718037
"15",1994,3.85,1.34807314829969
"16",1995,4.242,1.44503485614249
"17",1996,4.717,1.55117300430212
"18",1997,4.758,1.55982741188077
"19",1998,4.708,1.54926318939803
"20",1999,4.142,1.42117876297339
"21",2000,3.883,1.35660805074953
"22",2001,4.008,1.38829236378256
"23",2002,4.392,1.47978470420723
"24",2003,4.792,1.56694786081315
"25",2004,5.5,1.70474809223843
"26",2005,5.65,1.73165554515835
"27",2006,5.225,1.65345479785087
"28",2007,4.867,1.58247773085132
"29",2008,4.108,1.41293629206631
"30",2009,5.333,1.67391393161847
"31",2010,4.817,1.57215132764808
"32",2011,4.583,1.52235380552699
"33",2012,4.917,1.5926985884298
"34",2013,5.342,1.67560011468777
"35",2014,5.617,1.7257977135503
"36",2015,5.733,1.74623895392625
"37",2016,6.033,1.79724439945862
"38",2017,5.533,1.71073016391597
"39",2018,4.85,1.57897870494939
"40",2019,5.1,1.62924053973028
"41",2020,5,1.6094379124341
