"","year","NGDP_D","logNGDP_D"
"1",1980,47.312,3.85676396311012
"2",1981,50.416,3.92030858501492
"3",1982,53.105,3.9722710857735
"4",1983,55.047,4.00818736577093
"5",1984,57.598,4.05348784487679
"6",1985,59.373,4.08383957757695
"7",1986,60.98,4.11054594156011
"8",1987,62.267,4.13143159043136
"9",1988,66.038,4.19023033391738
"10",1989,67.996,4.21944887991652
"11",1990,70.035,4.24899511709101
"12",1991,72.586,4.28477206576965
"13",1992,75.111,4.31896701941571
"14",1993,77.182,4.34616626922281
"15",1994,79.131,4.37110470697332
"16",1995,80.566,4.38907672428636
"17",1996,81.336,4.39858872297286
"18",1997,82.367,4.41118487126282
"19",1998,82.731,4.41559438064264
"20",1999,82.943,4.41815362488992
"21",2000,84.074,4.43169736341346
"22",2001,85.711,4.45098117209276
"23",2002,86.693,4.46237314234937
"24",2003,87.827,4.47536897045167
"25",2004,89.355,4.49261719974876
"26",2005,91.622,4.51767141751525
"27",2006,93.356,4.53642014215897
"28",2007,95.429,4.55838251548921
"29",2008,97.296,4.57775787837775
"30",2009,99.134,4.5964724702849
"31",2010,100,4.60517018598809
"32",2011,101.833,4.62333421661576
"33",2012,103.925,4.6436694851387
"34",2013,105.613,4.65978146975584
"35",2014,107.911,4.68130681331445
"36",2015,110.25,4.70275051432696
"37",2016,111.806,4.71676522654393
"38",2017,113.206,4.72920916789801
"39",2018,115.417,4.74855165691591
"40",2019,117.43,4.76584241137699
"41",2020,119.723,4.7851807411403
