,Country,Type,Gas,year,Emissions (kt CO eq),Emissions per capita,EmissionTot
0,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,68341.0,8.9,4649770440
1,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,65100.0,8.39,4444605532
2,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,68281.0,8.71,4320714824
3,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,61169.0,7.74,4226725664
4,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,68807.0,8.67,4214004125
5,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,62062.0,7.81,4241086354
6,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,66256.0,8.32,4304232584
7,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,62080.0,7.79,4240418576
8,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,64839.0,8.13,4190637451
9,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,61984.0,7.76,4102517036
10,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,68470.0,8.55,4141954032
11,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,57169.0,7.11,4142913291
12,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,75062.0,9.29,4159783149
13,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,78202.0,9.63,4246654187
14,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,71163.0,8.71,4208292610
15,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,76568.0,9.31,4195965002
16,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,83582.0,10.11,4194673290
17,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,84344.0,10.17,4194207226
18,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,77059.0,9.26,4057795000
19,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,74456.0,8.92,3742770651
20,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,67495.0,8.07,3820496515
21,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,69824.0,8.32,3718549581
22,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,76603.0,9.09,3652461479
23,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,76462.0,9.02,3553809421
24,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,71495.0,8.37,3427826280
25,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,74900.0,8.67,3486016866
26,Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,75595.0,8.65,3486374250
