Country,Type,Gas,year,Emissions per capita,Difference in Emissions per capita,% Difference in Emissions per capita,Absolute change since 1990 (per capita),Percentage change since 1990 (per capita)
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,8.9,0,0.00%,0,0.00%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,8.39,-0.51,-5.69%,-0.51,-5.69%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,8.71,0.31,3.74%,-0.19,-2.16%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,7.74,-0.97,-11.15%,-1.16,-13.07%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,8.67,0.93,12.05%,-0.23,-2.60%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,7.81,-0.86,-9.94%,-1.09,-12.28%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,8.32,0.52,6.62%,-0.58,-6.48%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,7.79,-0.53,-6.41%,-1.11,-12.47%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,8.13,0.34,4.33%,-0.77,-8.68%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,7.76,-0.37,-4.59%,-1.15,-12.87%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,8.55,0.79,10.20%,-0.35,-3.99%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,7.11,-1.44,-16.82%,-1.79,-20.14%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,9.29,2.18,30.65%,0.39,4.34%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,9.63,0.34,3.68%,0.73,8.18%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,8.71,-0.92,-9.56%,-0.19,-2.17%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,9.31,0.6,6.87%,0.4,4.55%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,10.11,0.8,8.62%,1.21,13.56%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,10.17,0.06,0.59%,1.27,14.23%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,9.26,-0.91,-8.92%,0.36,4.04%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,8.92,-0.34,-3.63%,0.02,0.26%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,8.07,-0.85,-9.57%,-0.83,-9.33%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,8.32,0.25,3.10%,-0.58,-6.52%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,9.09,0.77,9.21%,0.19,2.09%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,9.02,-0.07,-0.77%,0.12,1.30%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,8.37,-0.65,-7.22%,-0.54,-6.02%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,8.67,0.3,3.59%,-0.23,-2.64%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,8.65,-0.01,-0.16%,-0.25,-2.79%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,9.27,0.62,7.18%,0.37,4.19%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,9.81,0.54,5.77%,0.91,10.20%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,9.63,-0.18,-1.87%,0.72,8.14%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,7.77,-1.86,-19.28%,-1.13,-12.71%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,7.54,-0.23,-2.91%,-1.36,-15.25%
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,7.78,0.24,3.19%,-1.12,-12.54%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,16,8.21,105.52%,0,0.00%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,16.21,0.21,1.32%,0.21,1.32%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,16.1,-0.11,-0.69%,0.1,0.63%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,15.97,-0.13,-0.79%,-0.03,-0.17%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,16.44,0.47,2.92%,0.44,2.75%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,16.5,0.06,0.39%,0.5,3.15%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,17.14,0.64,3.89%,1.15,7.16%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,16.53,-0.62,-3.60%,0.53,3.31%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,17.08,0.55,3.32%,1.08,6.73%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,16.17,-0.91,-5.32%,0.17,1.06%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,16.41,0.24,1.50%,0.41,2.58%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,16.19,-0.22,-1.37%,0.19,1.18%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,16.64,0.45,2.78%,0.64,3.99%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,16.67,0.03,0.21%,0.67,4.20%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,16.82,0.15,0.89%,0.82,5.13%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,16.48,-0.34,-2.04%,0.48,2.99%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,16.35,-0.12,-0.75%,0.35,2.22%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,16.25,-0.1,-0.63%,0.25,1.58%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,16.2,-0.05,-0.30%,0.2,1.27%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,14.11,-2.09,-12.93%,-1.89,-11.82%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,14.91,0.8,5.69%,-1.09,-6.81%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,13.56,-1.34,-9.02%,-2.43,-15.21%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,12.99,-0.57,-4.21%,-3.01,-18.79%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,12.9,-0.09,-0.69%,-3.1,-19.35%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,12.12,-0.78,-6.05%,-3.88,-24.22%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,12.58,0.46,3.75%,-3.42,-21.38%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,12.63,0.05,0.39%,-3.37,-21.07%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,12.83,0.2,1.61%,-3.17,-19.80%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,13.38,0.55,4.29%,-2.62,-16.36%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,12.92,-0.46,-3.45%,-3.08,-19.25%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,11.38,-1.54,-11.92%,-4.62,-28.88%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,11.97,0.59,5.21%,-4.03,-25.17%
Belgium,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,11.4,-0.57,-4.74%,-4.59,-28.71%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,9.42,-1.98,-17.37%,0,0.00%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,7.51,-1.92,-20.33%,-1.92,-20.33%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,7.03,-0.48,-6.38%,-2.39,-25.41%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,7.01,-0.02,-0.27%,-2.41,-25.62%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,6.52,-0.49,-6.95%,-2.9,-30.78%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,6.74,0.22,3.33%,-2.68,-28.48%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,6.86,0.12,1.82%,-2.56,-27.17%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,6.4,-0.46,-6.76%,-3.02,-32.10%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,6.01,-0.38,-6.01%,-3.41,-36.18%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,5.17,-0.84,-14.00%,-4.25,-45.11%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,4.98,-0.19,-3.72%,-4.44,-47.15%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,5.81,0.83,16.57%,-3.62,-38.40%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,5.58,-0.23,-3.89%,-3.84,-40.80%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,6.34,0.76,13.58%,-3.09,-32.76%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,6.17,-0.16,-2.60%,-3.25,-34.50%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,6.14,-0.04,-0.57%,-3.29,-34.88%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,6.72,0.58,9.49%,-2.7,-28.70%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,7.14,0.42,6.32%,-2.28,-24.19%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,7.26,0.11,1.59%,-2.17,-22.99%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,6.11,-1.14,-15.75%,-3.31,-35.12%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,6.54,0.43,6.99%,-2.88,-30.58%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,7.75,1.21,18.53%,-1.67,-17.71%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,7.15,-0.6,-7.74%,-2.27,-24.08%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,6.61,-0.55,-7.65%,-2.82,-29.89%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,6.88,0.27,4.13%,-2.54,-27.00%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,7.43,0.56,8.07%,-1.99,-21.11%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,6.88,-0.56,-7.48%,-2.55,-27.01%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,7.2,0.32,4.64%,-2.23,-23.62%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,6.62,-0.57,-7.98%,-2.8,-29.72%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,6.51,-0.11,-1.65%,-2.91,-30.88%
