Country,Type,Gas,year,Emissions (kt CO eq),Difference in Emissions,% Difference in Emissions,Absolute change since 1990,Percentage change since 1990,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,68341,68341,0.00%,0,0.00%,,4806578
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,65100,-3240670,-4.70%,-3240670,-4.70%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,68281,3180754,4.90%,-59916,-0.10%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,61169,-7112107,-10.40%,-7172023,-10.50%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,68807,7637596,12.50%,465574,0.70%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,62062,-6745055,-9.80%,-6279481,-9.20%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,66256,4194838,6.80%,-2084643,-3.10%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,62080,-4176566,-6.30%,-6261210,-9.20%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,64839,2758786,4.40%,-3502423,-5.10%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,61984,-2854417,-4.40%,-6356840,-9.30%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,68470,6485296,10.50%,128456,0.20%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,57169,-11300664,-16.50%,-11172208,-16.30%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,75062,17893051,31.30%,6720843,9.80%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,78202,3140159,4.20%,9861002,14.40%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,71163,-7039305,-9.00%,2821697,4.10%,,
