,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,debtToIncome,loanToIncome,debtToCredit,debtToFico,Probability_of_Default,Prediction,Actual
6988,5,3010.972512,15315.63228,50249.54978,4,597,0.30479143289948096,0.05992038784790083,0.00032646383176287644,25.654325427135678,0.99964535,1,1
8376,0,2805.670759,1654.650582,42902.60256,4,618,0.03856760390435391,0.0653962834789853,0.0,2.6774281262135924,7.350493e-05,0,0
3594,0,7133.562392,4477.283469,80240.7266,3,684,0.055798142149425654,0.08890201639824134,0.0,6.545736065789473,0.00012692559,0,0
3836,0,3452.535598,3620.915701,67068.24401,6,724,0.05398852697649449,0.051477948304196254,0.0,5.00126478038674,5.515272e-05,0,0
3745,0,3596.70992,5847.202148,74431.14744,5,581,0.07855853831507183,0.04832264507139781,0.0,10.064031235800345,6.979632e-05,0,0
8339,0,1982.714868,530.3181937,39995.43322,6,772,0.013259468669408254,0.04957353148530291,0.0,0.6869406654145078,6.590957e-05,0,0
4533,0,5243.060607,3756.640426,86635.52749,5,558,0.04336143075291617,0.060518597380332065,0.0,6.732330512544803,9.3398616e-05,0,0
3903,0,4575.249304,5642.386621,71520.56578,5,668,0.07889180628626732,0.06397110053734253,0.0,8.446686558383233,6.1202954e-05,0,0
2302,0,2511.359214,1739.82007,41112.59814,7,784,0.04231841695033288,0.06108490651571358,0.0,2.2191582525510203,6.409214e-05,0,0
9553,0,5285.99192,7881.169518,89211.5372,3,672,0.088342492073996,0.05925233535825678,0.0,11.727930830357142,0.00011798207,0,0
739,2,4796.495519,12871.93661,67454.52409,2,641,0.1908239185384489,0.07110709894862442,0.00015537677511915588,20.081024352574104,0.01926724,0,0
7283,2,1936.495806,4352.014011,36590.4961,9,736,0.11893837129472537,0.052923464079515446,0.00045955734401242025,5.913062514945652,0.00010062924,0,0
2588,0,4451.038452,791.5903789,79159.03789,5,654,0.01,0.056229062033133805,0.0,1.21038284235474,5.806956e-05,0,0
4521,1,3519.975193,9027.320474,69844.46479,6,650,0.1292489032759041,0.050397339339394207,0.0001107748420896484,13.888185344615385,5.7586425e-05,0,0
9051,5,3178.943316,12395.06561,40571.85048,3,724,0.3055090034927093,0.07835342185259872,0.0004033863278598652,17.120256367403314,0.99891996,1,1
6289,1,4066.61649,9928.539503,82726.57375,5,725,0.12001632671267255,0.04915731796519616,0.00010071974832731851,13.69453724551724,5.6912908e-05,0,0
904,1,5501.419044,8046.621218,80624.09593,6,691,0.09980417299793715,0.06823541995157974,0.00012427576406393235,11.644893224312591,7.196286e-05,0,0
9264,0,3635.971938,4938.572578,54056.92022,4,563,0.09135874848032548,0.06726191435254504,0.0,8.771887349911191,8.554466e-05,0,0
3113,0,1968.975209,1954.689457,45267.387,4,629,0.0431809650731552,0.04349655103794703,0.0,3.107614399046105,6.974176e-05,0,0
128,0,2149.0705,1594.604164,41471.13448,5,672,0.03845094145589431,0.05182087557880572,0.0,2.3729228630952384,6.5686756e-05,0,0
7865,3,3041.911856,11193.67014,55651.02151,4,639,0.2011404253916273,0.054660485530411966,0.0002680086122316268,17.517480657276995,0.020515721,0,0
4544,1,3789.237701,4798.418315,50548.47778,5,645,0.09492705865217055,0.07496244926487676,0.00020840200548459268,7.439408240310077,9.624374e-05,0,0
7322,0,3303.477739,673.0422793,61681.61418,6,618,0.010911554249146598,0.05355692750451947,0.0,1.0890651768608415,6.2831714e-05,0,0
6383,0,2227.671183,3284.903346,41612.41209,2,613,0.07894046946606599,0.05353381529967445,0.0,5.358733027732463,0.00023244646,0,0
4500,0,3785.286523,4425.578893,57114.6302,3,674,0.0774859064569414,0.06627525223826101,0.0,6.566140790801187,0.000107050466,0,0
9135,5,3082.366603,13886.47219,50908.7691,6,586,0.27277171370462383,0.06054686957654217,0.00036006265173674755,23.69705151877133,0.99883586,1,1
4052,1,3542.243716,7175.148875,62146.36739,5,643,0.11545564409215263,0.05699840336234977,0.00013936993049499619,11.158862947122861,5.4966273e-05,0,0
2210,5,4604.392115,26326.21213,91932.70891,4,592,0.286363933382761,0.0500843733377594,0.00018992477821381135,44.469952922297296,0.9996586,1,1
6222,1,2384.145114,5185.156991,50854.96257,5,620,0.10195970518831511,0.04688126769768655,0.00019285819151391631,8.363156437096775,8.6864915e-05,0,0
8886,0,2913.813703,4287.774236,46294.74402,3,599,0.09261902893658122,0.06294048632694006,0.0,7.158220761268781,0.00011680067,0,0
9917,0,7256.646057,9589.091758,98471.16447,3,623,0.09737969292443364,0.07369310697255736,0.0,15.391800574638845,0.00024062797,0,0
659,0,2634.015661,3878.539547,54051.0742,1,556,0.07175693738571434,0.048731976190771055,0.0,6.975790552158273,0.0014264216,0,0
