,left
10388,False
7447,False
9958,False
11004,False
1080,True
3589,False
2860,False
4777,False
11452,False
3806,False
7379,False
8640,False
10088,False
3669,False
10976,False
9508,False
11389,False
2615,False
1559,True
8814,False
5949,False
8322,False
7597,False
10141,False
7475,False
8511,False
852,True
7967,False
10325,False
9619,False
10607,False
9968,False
4967,False
7381,False
4042,False
779,True
11667,False
11748,False
2869,False
11478,False
8464,False
9293,False
8892,False
6759,False
1150,True
1326,True
1148,True
2242,False
5833,False
5496,False
7024,False
548,True
3622,False
3002,False
3824,False
3197,False
3538,False
2558,False
10028,False
8811,False
5590,False
1592,True
9004,False
11990,False
6392,False
2453,False
11340,False
7650,False
11915,False
7953,False
2925,False
8619,False
11899,False
10611,False
5979,False
7704,False
6624,False
4891,False
10757,False
6231,False
800,True
4498,False
11728,False
4952,False
1298,True
6177,False
2228,False
1663,True
4200,False
11984,False
4799,False
5741,False
762,True
3432,False
1935,True
11310,False
8896,False
10415,False
8394,False
7525,False
9129,False
8647,False
8225,False
2789,False
3916,False
10698,False
10461,False
700,True
3865,False
5357,False
8866,False
5608,False
7248,False
11380,False
5013,False
2614,False
4653,False
5880,False
9670,False
6060,False
6311,False
3350,False
8413,False
9130,False
7937,False
9814,False
10175,False
1877,True
9712,False
10299,False
7858,False
8887,False
7903,False
5255,False
2593,False
4415,False
9256,False
6694,False
652,True
2692,False
11416,False
7052,False
3068,False
7657,False
1918,True
4807,False
5747,False
2245,False
1975,True
3145,False
3233,False
9275,False
8433,False
76,True
10916,False
7227,False
11179,False
7684,False
1967,True
3801,False
7275,False
1896,True
5861,False
11776,False
9146,False
4079,False
222,True
2159,False
7274,False
11060,False
8944,False
11519,False
1480,True
1324,True
2521,False
3249,False
6575,False
844,True
6308,False
938,True
2861,False
11263,False
1173,True
2430,False
10358,False
2663,False
10544,False
7452,False
677,True
1418,True
239,True
10674,False
2452,False
4065,False
824,True
10619,False
7760,False
10617,False
8300,False
11480,False
10364,False
7450,False
7764,False
8510,False
1279,True
5685,False
9465,False
6853,False
5485,False
1352,True
303,True
10300,False
1704,True
448,True
3487,False
8287,False
4480,False
1106,True
4758,False
873,True
10333,False
10776,False
6685,False
8707,False
5010,False
3811,False
6910,False
6435,False
1006,True
10683,False
5067,False
4602,False
998,True
3430,False
336,True
1091,True
10546,False
6320,False
2325,False
11876,False
10598,False
10277,False
1973,True
7078,False
879,True
6172,False
4047,False
9429,False
3467,False
5663,False
4900,False
10557,False
6349,False
5000,False
3739,False
6548,False
9974,False
854,True
8939,False
6107,False
5603,False
173,True
1327,True
1491,True
6036,False
6410,False
3308,False
3600,False
3396,False
10245,False
9868,False
4623,False
10262,False
6314,False
1376,True
2546,False
5253,False
10447,False
1094,True
10831,False
3849,False
199,True
11406,False
5805,False
4178,False
3675,False
4141,False
3738,False
4590,False
7777,False
5465,False
3422,False
11472,False
7348,False
8690,False
2660,False
10715,False
11934,False
3522,False
5315,False
5558,False
2090,False
4307,False
2011,False
7542,False
8258,False
11613,False
3703,False
5494,False
6623,False
3771,False
10633,False
11644,False
8321,False
9813,False
10923,False
8535,False
6511,False
3474,False
6198,False
5439,False
11166,False
3652,False
4840,False
6202,False
2849,False
463,True
1819,True
10706,False
10842,False
6183,False
7153,False
3756,False
7117,False
8519,False
380,True
6101,False
10481,False
4357,False
3019,False
7269,False
5269,False
9345,False
4033,False
9364,False
7794,False
3696,False
9218,False
3645,False
4607,False
10306,False
8807,False
9403,False
10895,False
1630,True
6431,False
5694,False
715,True
4499,False
3567,False
781,True
8129,False
2309,False
8355,False
4168,False
8257,False
10898,False
741,True
9728,False
1926,True
5531,False
4484,False
2049,False
11956,False
3936,False
1142,True
186,True
9097,False
11862,False
8728,False
3708,False
