date,Canada,China,France,Italy,Qatar,South Africa,United States
2012-01-01,3874.0,2494.0,562.0,303.0,42.0,338.0,4102.0
2013-01-01,3810.0,2489.0,500.0,285.0,42.0,322.0,4180.0
2014-01-01,3691.0,2613.0,495.0,290.0,43.0,322.0,4369.0
2015-01-01,3501.0,2827.0,490.0,0.0,43.0,316.0,4381.0
2016-01-01,3368.0,3052.0,485.0,0.0,44.0,303.0,4331.0
2017-01-01,3278.0,3485.0,465.0,0.0,45.0,294.0,4336.0
2018-01-01,3330.0,3584.0,457.0,0.0,46.0,289.0,4013.0
2019-01-01,3358.0,12730.0,0.0,0.0,47.0,274.0,3910.0
2020-01-01,3922.0,12341.0,0.0,0.0,0.0,264.0,4104.0
2021-01-01,3455.0,11629.0,0.0,0.0,0.0,252.0,4774.0
2022-01-01,3534.0,11497.0,0.0,0.0,0.0,237.0,4642.0
