date,Canada,China,France,Italy,Qatar,South Africa,United States
2012-01-01,5.99,17.17,15.23,11.03,-1.86,15.75,13.41
2013-01-01,2.98,7.26,17.99,23.06,23.97,-7.45,29.6
2014-01-01,-2.14,3.03,-0.54,-12.02,23.0,3.86,11.39
2015-01-01,-26.17,-6.01,8.53,3.2,-18.65,-26.62,-0.73
2016-01-01,22.56,-2.02,4.86,-13.0,2.19,17.62,9.54
2017-01-01,13.75,46.03,9.26,29.77,-16.77,30.62,19.42
2018-01-01,-19.38,-20.52,-10.95,-20.95,22.22,-25.89,-6.24
2019-01-01,25.32,19.26,26.37,24.54,-1.9,8.55,28.88
2020-01-01,4.48,27.87,-7.14,2.68,-4.04,-7.02,16.26
2021-01-01,22.68,-20.65,28.85,14.87,12.23,5.44,26.89
2022-01-01,-14.8,-23.62,-9.5,-19.4,-11.26,-7.15,-19.44
