date,Canada,China,France,Italy,Qatar,South Africa,United States
2012-01-01,65.44,135.97,59.42,162.42,0.0,24.99,173.29
2013-01-01,62.62,194.88,48.04,125.11,13.48,24.63,138.33
2014-01-01,64.15,199.16,56.02,350.01,29.45,26.31,148.03
2015-01-01,68.8,480.29,63.61,0.0,16.94,31.79,165.15
2016-01-01,57.55,249.91,0.0,0.0,12.65,38.37,94.72
2017-01-01,54.08,197.71,0.0,0.0,14.03,25.74,116.08
2018-01-01,70.88,206.65,0.0,0.0,11.64,41.86,0.0
2019-01-01,59.46,212.96,0.0,0.0,8.34,33.13,0.0
2020-01-01,73.98,257.26,0.0,0.0,14.01,35.3,0.0
2021-01-01,67.09,279.55,0.0,0.0,16.77,29.37,0.0
2022-01-01,81.95,283.04,0.0,0.0,26.46,26.69,0.0
