date,Canada,China,France,Italy,Qatar,South Africa,United States
2012-01-01,73.73,58.92,40.04,37.5,10.39,52.22,199.03
2013-01-01,71.68,80.41,39.32,35.95,10.35,57.93,196.95
2014-01-01,74.42,114.16,40.92,95.08,26.54,64.45,221.36
2015-01-01,70.42,355.52,54.46,0.0,14.93,67.49,226.28
2016-01-01,75.48,162.86,0.0,0.0,12.49,124.37,223.73
2017-01-01,77.62,139.91,0.0,0.0,11.38,107.41,202.86
2018-01-01,79.62,94.07,0.0,0.0,10.35,72.8,237.52
2019-01-01,82.16,127.8,0.0,0.0,7.56,73.16,168.87
2020-01-01,118.02,215.03,0.0,0.0,16.05,86.86,192.69
2021-01-01,109.09,226.48,0.0,0.0,17.28,61.41,194.43
2022-01-01,104.06,181.54,0.0,0.0,18.72,57.76,172.14
